Title,Description,text,processed_text,Class Index,sentiment_label,bias_label
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
India Election 2024,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,India Election 2024 Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,india election 2024 copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,"'I want to erase my own footprint': The women looking after an island paradise

Antiguan girls are being trained as coastal stewards to empower them while protecting the environment.","Latest News & Updates 'I want to erase my own footprint': The women looking after an island paradise

Antiguan girls are being trained as coastal stewards to empower them while protecting the environment.",latest news update want erase footprint woman looking island paradise antiguan girl trained coastal steward empower protecting environment,4,1,Unknown bias
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,"Is Dharamsala the most beautiful setting in world cricket?

BBC Sport takes a look around Dharamsala before the fifth Test between India and England and asks whether or not it is the world’s most beautiful place to play and watch cricket.","Latest News & Updates Is Dharamsala the most beautiful setting in world cricket?

BBC Sport takes a look around Dharamsala before the fifth Test between India and England and asks whether or not it is the world’s most beautiful place to play and watch cricket.",latest news update dharamsala beautiful setting world cricket bbc sport take look around dharamsala fifth test india england asks whether world ’ beautiful place play watch cricket,2,1,Unknown bias
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,"100 days to go - all you need to know for Paris 2024

With 100 days until the Paris Olympics 2024, we've put together a guide to give you the latest on when the Games begin, the venues, and how many gold medals can be won.","Latest News & Updates 100 days to go - all you need to know for Paris 2024

With 100 days until the Paris Olympics 2024, we've put together a guide to give you the latest on when the Games begin, the venues, and how many gold medals can be won.",latest news update 100 day go need know paris 2024 100 day paris olympics 2024 weve put together guide give latest game begin venue many gold medal,2,1,Unknown bias
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Latest News & Updates Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,latest news update copyright 2024 bbc right reserved bbc responsible content external site read approach external linking,4,1,Unknown bias
Latest News & Updates,"What we know about Israel's missile attack on Iran

There are competing claims about the scale of Friday's attack on the Isfahan region.","Latest News & Updates What we know about Israel's missile attack on Iran

There are competing claims about the scale of Friday's attack on the Isfahan region.",latest news update know israel missile attack iran competing claim scale friday attack isfahan region,1,0,Unknown bias
US & Canada,"After hunt for impartiality, who are the 12 Trump jurors?

The five women and seven men make up a highly educated group who will deliberate on the case.","US & Canada After hunt for impartiality, who are the 12 Trump jurors?

The five women and seven men make up a highly educated group who will deliberate on the case.",u canada hunt impartiality 12 trump juror five woman seven men make highly educated group deliberate case,3,-1,Low bias
Latest News & Updates,"William given get well soon cards for Kate

The prince was given the cards by a volunteer on his first engagement since his wife's cancer diagnosis.","Latest News & Updates William given get well soon cards for Kate

The prince was given the cards by a volunteer on his first engagement since his wife's cancer diagnosis.",latest news update william given get well soon card kate prince given card volunteer first engagement since wife cancer diagnosis,4,0,Low bias
