Title,Description
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
India Election 2024,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,"'I want to erase my own footprint': The women looking after an island paradise

Antiguan girls are being trained as coastal stewards to empower them while protecting the environment."
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,"Is Dharamsala the most beautiful setting in world cricket?

BBC Sport takes a look around Dharamsala before the fifth Test between India and England and asks whether or not it is the world’s most beautiful place to play and watch cricket."
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,"100 days to go - all you need to know for Paris 2024

With 100 days until the Paris Olympics 2024, we've put together a guide to give you the latest on when the Games begin, the venues, and how many gold medals can be won."
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,"What we know about Israel's missile attack on Iran

There are competing claims about the scale of Friday's attack on the Isfahan region."
US & Canada,"After hunt for impartiality, who are the 12 Trump jurors?

The five women and seven men make up a highly educated group who will deliberate on the case."
Latest News & Updates,"William given get well soon cards for Kate

The prince was given the cards by a volunteer on his first engagement since his wife's cancer diagnosis."
Latest News & Updates,"Everything you need to know about the 2024 London Marathon

Tributes will be paid to Kelvin Kiptum, a world record could be set and famous faces take to the start line - here's everything you need to know about this year's London Marathon."
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
Latest News & Updates,"Tributes to police chief who led hunt for Lockerbie bombers

John Boyd was head of the Dumfries and Galloway force at the time of the Lockerbie bombing in 1988."
Latest News & Updates,"How play helped girl with arthritis to laugh again

Sfiyah was diagnosed with juvenile idiopathic arthritis when she was just nine."
Latest News & Updates,"We set the theme, you take the pictures

Each week, we ask you to send in your pictures on a set theme and a selection of these are then published each Thursday on our In pictures page"
Latest News & Updates,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
BBC Live & Breaking World and U.S. News,World’s biggest election kicks off as India votes Millions of Indians are queuing up to cast their ballot in the first of the seven-phase election.
US Speaker Mike Johnson may pay political price for Ukraine deal,
Jordan van den Berg: The 'Robin Hood' TikToker taking on Australian landlords,
Ukraine Russia war: US House passes crucial aid deal worth $61bn,
What the world's media makes of Trump going on trial,
Israel-Gaza briefings: No let-up for Gazans while world focused on Iran attack,
Trapped inside a Myanmar labour camp running online scams,
Taylor Swift: The Tortured Poets Department broke Spotify record,
"Look, no hands! My trip on Seoul's self-driving bus",
12 stunning buildings that bring nature inside,
Could there soon be digital copies of your heart?,"Scientists are creating a digital version of the human heart with the aim of improving predictive and preventative medicine. Researchers in Barcelona, believe the ambitious project could change the future of healthcare and give us a better understanding of heart health. So, how does the technology work?"
Earth's transformation in satellite images,"Words that reveal if you are an extrovert or an introvert

Hyperbole is now a 'mega' part of the English language, but why did it happen?"
The rise of the giant hailstones,"The thought of grapefruit-sized lumps of ice falling from the sky seems quite apocalyptic, but it's a reality that's becoming more common.

Climate change is producing more extreme storms around the world, and with them, even more extreme hailstones.

But just how big can hail get, and how are storms able to produce such monster-sized objects?

You can read more about how climate change is leading to bigger hailstones on BBC.com.

For essential climate news and hopeful developments to your inbox, sign up to the Future Earth newsletter, while The Essential List delivers a handpicked selection of features and insights."
Listen to world's first 'chat' between humans and whales,Copyright 2024 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.
The surprising benefits of a traditional Japanese diet,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
Feeling angry? Venting doesn't actually help,"It might feel good to vent. But a new study shows it doesn't actually help reduce anger. And neither does jogging. Smash a plate, rant at a friend, intuitively you'd think it might help us calm down by just letting it all out."
Sweden's Icehotel: The menu inspired by eight Sami seasons,"Why Northern Lights viewing is about to get more magical

There are many myths surrounding the aurora but satellite technology provides insights into the celestial marvel."
How AI and deepfakes are changing politics,"Politicians including US President Joe Biden and Mayor of London Sadiq Khan have found themselves victims of deepfakes. These are fake images or audio recordings generated by artificial intelligence and have spread rapidly across social media.

Although, there are politicians across the world who have not only embraced this technology but used it on themselves. For many, it has raised concerns about public trust in politicians."
How smoking really affects your belly fat,"Why Europe has so few skyscrapers

Only seven of the world’s 1,000 tallest buildings are in the EU. Watch to find out why."
